,Chuquisaca,La Paz,Cochabamba,Oruro,Potosí,Tarija,Santa Cruz,Beni,Pando
2020-03-10,0,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0,0,0,0
2020-03-26,0,0,0,0,0,0,0,0,0
2020-03-27,0,0,0,0,0,0,0,0,0
2020-03-28,0,0,0,0,0,0,0,0,0
2020-03-29,0,2,0,0,0,0,1,0,0
2020-03-30,0,3,0,0,0,0,3,0,0
2020-03-31,0,3,0,0,0,0,4,0,0
2020-04-01,0,3,0,0,0,0,5,0,0
2020-04-02,0,4,0,0,0,0,5,0,0
2020-04-03,0,5,0,0,0,0,5,0,0
2020-04-04,0,5,0,0,0,0,5,0,0
2020-04-05,0,5,1,0,0,0,5,0,0
2020-04-06,0,7,2,0,0,0,5,0,0
2020-04-07,0,7,2,0,1,0,5,0,0
2020-04-08,0,7,2,0,1,0,8,0,0
2020-04-09,0,7,2,0,1,0,9,0,0
2020-04-10,0,7,2,1,1,0,9,0,0
2020-04-11,0,8,4,1,1,0,10,0,0
2020-04-12,0,10,4,2,1,0,10,0,0
2020-04-13,0,11,4,2,1,0,10,0,0
2020-04-14,0,11,4,2,1,0,10,0,0
2020-04-15,0,11,4,2,1,0,11,0,0
2020-04-16,0,12,4,2,1,0,12,0,0
2020-04-17,0,12,4,2,1,0,12,0,0
2020-04-18,0,12,4,2,1,0,12,0,1
2020-04-19,0,12,5,2,1,0,12,0,1
2020-04-20,0,12,6,2,1,0,12,0,1
2020-04-21,0,12,6,2,1,0,14,1,1
2020-04-22,0,13,6,2,1,0,16,1,1
2020-04-23,0,13,6,2,1,0,19,1,1
2020-04-24,0,14,6,2,1,0,19,1,1
2020-04-25,0,15,6,2,1,0,20,1,1
2020-04-26,0,15,6,4,1,0,22,1,1
2020-04-27,0,15,6,4,1,0,25,1,1
2020-04-28,0,15,6,4,1,0,27,1,1
2020-04-29,0,15,6,6,1,0,29,1,1
2020-04-30,0,15,6,6,1,0,32,1,1
2020-05-01,0,15,6,6,1,0,34,3,1
2020-05-02,0,15,6,6,1,0,38,4,1
2020-05-03,0,15,6,7,1,0,40,6,1
2020-05-04,1,15,6,7,1,1,44,6,1
2020-05-05,1,16,6,7,1,1,46,7,1
2020-05-06,1,16,6,7,1,1,50,8,1
2020-05-07,1,16,6,8,1,1,52,16,1
2020-05-08,1,16,6,8,1,1,53,19,1
2020-05-09,1,16,6,9,1,1,56,23,1
2020-05-10,1,16,6,9,2,1,59,23,1
2020-05-11,2,16,6,9,2,1,60,25,1
2020-05-12,2,17,7,9,1,1,64,26,1
2020-05-13,2,19,8,9,1,1,72,29,1
2020-05-14,2,19,8,9,1,1,76,35,1
2020-05-15,2,19,9,9,1,1,83,39,1
2020-05-16,2,19,9,9,1,1,84,39,1
2020-05-17,2,19,9,9,1,1,87,40,1
2020-05-18,2,20,10,9,1,2,88,41,1
2020-05-19,2,21,11,9,1,2,95,47,1
2020-05-20,2,21,11,10,1,2,97,54,1
2020-05-21,2,22,11,12,1,2,107,57,1
2020-05-22,2,23,11,13,1,2,111,66,1
2020-05-23,2,24,13,13,1,2,117,67,1
2020-05-24,2,24,13,13,1,2,123,71,1
2020-05-25,2,24,18,13,1,2,128,72,1
2020-05-26,2,24,18,13,1,3,135,77,1
2020-05-27,2,24,18,13,1,3,138,80,1
2020-05-28,2,26,19,13,1,3,144,84,1
2020-05-29,2,27,21,13,1,3,146,86,1
2020-05-30,2,28,23,14,1,3,149,89,1
2020-05-31,2,28,23,14,1,3,149,92,1
2020-06-01,2,31,34,14,1,4,164,92,1
2020-06-02,2,32,39,15,1,4,184,98,1
2020-06-03,2,35,45,16,3,4,189,104,2
2020-06-04,2,36,49,18,3,4,192,109,2
2020-06-05,2,38,51,19,3,4,194,114,2
2020-06-06,2,38,52,21,3,4,214,118,2
2020-06-07,2,38,52,21,3,4,221,121,3
2020-06-08,2,38,55,21,3,4,225,124,3
2020-06-09,2,38,57,21,4,4,231,126,4
2020-06-10,3,40,57,24,6,4,243,131,4
2020-06-11,3,42,60,24,7,4,250,137,6
2020-06-12,3,43,66,24,8,5,265,139,6
2020-06-13,3,45,75,25,8,5,270,148,6
2020-06-14,4,49,78,26,8,5,283,152,6
2020-06-15,6,50,83,28,8,5,287,159,6
2020-06-16,8,50,88,30,9,5,298,163,8
2020-06-17,9,51,94,32,9,7,303,163,11
2020-06-18,11,53,97,34,9,7,307,167,12
2020-06-19,14,54,98,36,10,7,313,171,12
2020-06-20,15,55,101,36,13,8,322,178,12
2020-06-21,21,63,107,38,13,8,327,184,12
2020-06-22,21,63,114,46,13,8,348,191,16
2020-06-23,22,64,125,46,15,8,351,199,16
2020-06-24,26,65,130,46,15,8,365,203,18
2020-06-25,29,68,136,54,17,10,373,206,20
2020-06-26,29,69,140,54,17,10,381,212,22
2020-06-27,30,74,150,55,17,11,396,214,23
2020-06-28,31,76,165,55,19,13,412,218,25
2020-06-29,32,82,184,58,19,15,431,225,25
2020-06-30,35,82,202,58,19,15,455,230,27
2020-07-01,37,84,221,77,20,17,477,232,37
2020-07-02,38,93,233,79,22,22,506,233,47
2020-07-03,43,93,247,82,23,23,527,236,48
2020-07-04,44,100,262,82,24,25,551,239,53
2020-07-05,45,107,282,83,25,28,573,241,53
2020-07-06,46,107,292,90,25,30,591,244,54
2020-07-07,50,109,304,99,25,31,614,248,54
2020-07-08,50,110,312,108,25,34,638,251,54
2020-07-09,52,114,327,113,29,39,661,257,54
2020-07-10,56,116,346,118,31,41,687,259,56
2020-07-11,58,127,365,118,31,44,700,263,56
2020-07-12,60,131,385,131,33,46,709,266,57
2020-07-13,60,133,398,137,33,47,733,273,65
2020-07-14,60,134,412,142,33,49,740,275,69
2020-07-15,60,139,422,142,33,52,756,276,78
2020-07-16,61,145,437,150,34,54,761,276,83
2020-07-17,63,155,453,160,35,56,778,280,87
2020-07-18,68,157,468,163,35,62,797,281,94
2020-07-19,73,162,483,164,37,63,814,281,94
2020-07-20,77,169,498,174,39,69,833,282,98
2020-07-21,78,170,512,183,39,73,854,284,103
2020-07-22,88,170,526,193,39,73,874,285,105
2020-07-23,97,179,541,201,49,74,891,288,114
2020-07-24,105,201,555,201,49,75,908,289,117
2020-07-25,108,218,571,208,49,76,928,289,117
2020-07-26,115,219,583,213,51,79,948,289,117
2020-07-27,120,226,603,223,52,80,967,291,117
2020-07-28,131,227,622,227,53,83,1000,292,118
2020-07-29,135,255,634,233,58,85,1029,293,121
2020-07-30,145,271,646,243,59,87,1061,293,124
2020-07-31,151,283,663,245,72,89,1094,293,124
2020-08-01,160,303,683,245,75,92,1124,295,124
2020-08-02,171,312,698,260,84,93,1153,295,124
2020-08-03,180,313,713,266,92,96,1180,297,130
2020-08-04,184,334,730,273,95,101,1215,298,130
2020-08-05,190,334,745,278,96,102,1246,301,135
2020-08-06,199,350,759,282,98,106,1275,303,135
2020-08-07,212,356,771,282,98,111,1294,305,137
2020-08-08,225,365,781,283,103,116,1312,307,137
2020-08-09,233,375,786,283,107,118,1333,307,140
2020-08-10,243,382,791,283,120,121,1362,310,142
2020-08-11,254,386,796,285,124,122,1380,314,142
2020-08-12,264,405,801,287,125,127,1401,317,142
2020-08-13,275,417,809,287,131,130,1416,319,142
2020-08-14,288,429,816,287,137,132,1429,321,142
2020-08-15,294,453,822,289,142,134,1448,321,142
2020-08-16,301,468,832,291,145,137,1463,321,143
2020-08-17,309,483,839,295,159,141,1479,321,143
2020-08-18,318,491,847,296,163,144,1494,322,143
2020-08-19,323,507,852,296,168,147,1519,324,143
2020-08-20,328,521,859,297,175,152,1548,326,145
2020-08-21,338,535,865,297,175,157,1574,326,145
2020-08-22,344,555,870,303,178,164,1603,327,145
2020-08-23,348,579,879,304,179,166,1629,328,145
2020-08-24,353,596,887,304,183,172,1655,330,146
2020-08-25,359,618,896,310,189,176,1686,331,147
2020-08-26,367,641,903,310,190,184,1700,332,147
2020-08-27,370,659,913,312,191,186,1730,332,147
2020-08-28,380,678,921,312,194,189,1742,332,147
2020-08-29,385,693,928,315,195,193,1799,332,147
2020-08-30,388,693,934,315,195,197,1814,332,147
2020-08-31,395,715,941,315,198,200,1831,334,147
2020-09-01,400,748,949,315,199,203,1854,335,147
2020-09-02,405,803,955,318,200,211,1876,335,149
2020-09-03,409,858,963,319,200,213,1890,336,150
2020-09-04,416,869,968,322,201,216,1915,337,150
2020-09-05,422,887,975,322,201,218,1934,337,153
2020-09-06,424,893,980,322,201,222,3527,337,153
2020-09-07,427,893,987,322,207,229,3546,339,155
2020-09-08,435,893,992,322,211,233,3566,341,155
2020-09-09,438,893,1000,323,218,238,3591,341,155
2020-09-10,438,893,1007,329,218,240,3618,343,159
2020-09-11,444,903,1014,335,220,245,3639,343,159
2020-09-12,449,913,1024,335,222,246,3657,343,160
2020-09-13,452,924,1030,335,222,251,3679,343,160
2020-09-14,456,932,1035,341,224,255,3700,344,160
2020-09-15,459,941,1043,342,225,258,3726,345,161
2020-09-16,461,951,1048,344,226,259,3734,345,163
2020-09-17,464,959,1055,344,226,262,3746,345,163
2020-09-18,467,963,1061,346,227,265,3765,346,163
2020-09-19,467,969,1066,347,227,269,3784,348,163
2020-09-20,470,973,1070,347,227,272,3800,349,163
2020-09-21,470,977,1076,349,227,278,3818,350,163
2020-09-22,472,981,1081,349,233,281,3836,350,164
2020-09-23,474,985,1087,349,238,284,3853,351,164
2020-09-24,476,990,1092,349,239,289,3868,352,164
2020-09-25,478,995,1099,350,239,292,3885,352,164
2020-09-26,478,999,1105,351,239,293,3902,352,164
2020-09-27,478,1003,1109,351,240,296,3920,352,164
2020-09-28,479,1006,1116,351,245,304,3935,354,165
2020-09-29,480,1008,1121,351,245,306,3952,358,165
2020-09-30,480,1014,1127,351,245,311,3968,359,165
2020-10-01,481,1021,1133,351,246,318,3981,360,165
2020-10-02,484,1028,1140,355,248,321,3998,361,165
2020-10-03,487,1033,1145,355,248,323,4011,361,165
2020-10-04,487,1036,1152,355,249,324,4027,361,165
2020-10-05,488,1039,1157,357,250,326,4040,362,165
2020-10-06,489,1039,1162,357,250,331,4055,363,165
2020-10-07,489,1048,1168,357,252,335,4070,363,165
2020-10-08,489,1054,1174,360,253,337,4087,364,165
2020-10-09,489,1061,1179,361,253,340,4105,364,165
2020-10-10,490,1069,1184,361,253,342,4119,364,165
2020-10-11,492,1070,1187,361,253,342,4129,364,165
2020-10-12,493,1071,1191,361,253,343,4139,365,165
2020-10-13,493,1076,1196,361,253,343,4153,366,165
2020-10-14,493,1081,1199,361,253,349,4165,366,165
2020-10-15,494,1088,1204,363,255,351,4176,366,165
2020-10-16,497,1093,1209,363,255,353,4192,367,165
2020-10-17,497,1096,1213,363,255,355,4207,367,165
2020-10-18,498,1098,1216,363,255,355,4219,367,165
2020-10-19,498,1100,1221,363,255,357,4230,368,165
2020-10-20,499,1102,1225,365,255,358,4243,369,165
2020-10-21,501,1106,1230,365,255,362,4260,369,165
2020-10-22,501,1108,1236,365,258,364,4272,370,165
2020-10-23,501,1111,1241,365,258,366,4285,371,165
2020-10-24,502,1112,1245,365,258,366,4298,371,165
2020-10-25,502,1114,1247,365,258,369,4309,371,165
2020-10-26,503,1115,1250,368,258,370,4312,372,165
2020-10-27,503,1119,1255,369,258,370,4316,372,165
2020-10-28,505,1123,1260,370,258,374,4322,372,165
2020-10-29,505,1124,1264,370,258,377,4325,372,165
2020-10-30,506,1126,1268,370,258,377,4328,372,165
2020-10-31,508,1127,1270,370,258,378,4332,372,165
2020-11-01,508,1128,1270,370,258,378,4336,373,165
2020-11-02,508,1129,1273,370,260,379,4339,373,165
2020-11-03,508,1130,1276,373,260,380,4341,373,165
2020-11-04,508,1131,1281,373,260,380,4342,373,165
2020-11-05,509,1133,1284,374,260,381,4344,373,165
2020-11-06,510,1135,1289,376,261,382,4345,373,165
2020-11-07,510,1136,1292,376,261,387,4345,373,165
2020-11-08,510,1136,1296,376,261,388,4345,373,165
2020-11-09,511,1136,1298,377,261,389,4346,374,165
2020-11-10,511,1137,1301,377,261,390,4347,374,165
2020-11-11,511,1137,1305,377,263,392,4349,374,165
2020-11-12,511,1137,1309,377,263,392,4352,374,165
2020-11-13,511,1139,1312,377,263,394,4355,374,165
2020-11-14,511,1142,1312,377,263,394,4358,374,165
2020-11-15,513,1144,1312,377,263,396,4360,374,165
2020-11-16,513,1147,1314,378,266,397,4360,374,165
2020-11-17,513,1150,1315,378,266,397,4363,374,165
2020-11-18,513,1153,1315,378,267,398,4367,374,165
2020-11-19,515,1157,1318,378,267,399,4371,374,165
2020-11-20,515,1160,1321,378,267,401,4374,374,165
2020-11-21,515,1160,1321,378,267,401,4378,374,165
2020-11-22,515,1161,1321,378,267,401,4380,374,165
2020-11-23,515,1162,1323,379,267,403,4383,374,165
2020-11-24,515,1164,1323,379,267,407,4387,375,166
2020-11-25,515,1167,1323,379,268,408,4393,375,166
2020-11-26,515,1167,1323,379,268,408,4393,375,166
2020-11-27,515,1168,1323,379,268,408,4396,375,166
2020-11-28,515,1170,1325,379,268,408,4398,375,166
2020-11-29,515,1172,1325,379,268,408,4399,375,166
2020-11-30,516,1173,1325,379,268,408,4402,375,166
2020-12-01,516,1174,1325,380,268,408,4406,375,166
2020-12-02,516,1174,1325,382,270,408,4410,376,166
2020-12-03,516,1177,1326,382,270,409,4414,377,166
2020-12-04,517,1178,1326,382,270,409,4417,377,166
2020-12-05,517,1179,1326,382,270,410,4420,377,166
2020-12-06,517,1180,1326,382,270,410,4422,377,166
2020-12-07,517,1180,1326,382,270,410,4424,377,166
2020-12-08,517,1180,1326,382,270,410,4429,377,166
2020-12-09,518,1180,1326,382,270,410,4429,378,166
2020-12-10,519,1182,1326,382,271,410,4429,378,166
2020-12-11,519,1184,1328,382,271,411,4429,378,166
2020-12-12,519,1185,1328,382,271,411,4429,378,166
2020-12-13,519,1186,1329,382,271,413,4429,378,166
2020-12-14,519,1187,1330,383,271,413,4431,379,166
2020-12-15,519,1187,1330,384,271,413,4432,379,166
2020-12-16,519,1189,1330,384,271,414,4432,379,166
2020-12-17,520,1189,1330,384,271,414,4433,379,166
2020-12-18,521,1189,1330,384,271,415,4433,379,166
2020-12-19,521,1190,1330,384,271,415,4434,379,166
2020-12-20,521,1190,1330,384,272,415,4434,379,166
2020-12-21,521,1194,1331,385,273,415,4434,379,166
2020-12-22,521,1195,1332,385,274,416,4439,379,166
2020-12-23,521,1198,1333,386,274,417,4446,379,166
2020-12-24,522,1201,1333,386,274,419,4451,379,166
2020-12-25,523,1202,1333,386,274,419,4455,379,167
2020-12-26,524,1204,1333,386,274,419,4462,379,167
2020-12-27,525,1205,1333,386,275,419,4464,379,167
2020-12-28,525,1209,1335,387,275,420,4464,379,167
2020-12-29,525,1223,1337,387,278,421,4472,380,167
2020-12-30,525,1226,1337,387,278,423,4479,382,167
2020-12-31,526,1227,1338,389,278,426,4486,383,167
2021-01-01,526,1229,1338,391,278,426,4497,383,167
2021-01-02,528,1230,1338,392,278,426,4509,384,168
2021-01-03,528,1235,1338,396,278,428,4527,384,169
2021-01-04,529,1238,1343,398,278,429,4542,384,170
2021-01-05,531,1245,1349,399,279,429,4558,386,171
2021-01-06,531,1273,1353,403,279,430,4574,386,172
2021-01-07,533,1281,1353,405,279,430,4588,386,172
2021-01-08,535,1288,1355,409,280,431,4602,386,172
2021-01-09,537,1299,1355,410,281,431,4614,388,172
2021-01-10,538,1316,1355,410,281,432,4632,388,172
2021-01-11,542,1328,1363,412,283,434,4653,389,173
2021-01-12,547,1342,1365,418,284,435,4671,391,173
2021-01-13,552,1353,1369,421,285,436,4698,396,173
2021-01-14,554,1364,1375,425,286,437,4718,397,174
2021-01-15,561,1378,1379,426,286,438,4738,398,175
2021-01-16,565,1385,1379,426,286,438,4759,401,175
2021-01-17,568,1393,1381,435,289,440,4783,402,176
2021-01-18,573,1401,1388,440,290,443,4802,405,177
2021-01-19,579,1411,1389,442,292,446,4825,407,178
2021-01-20,583,1419,1395,446,292,448,4851,408,180
2021-01-21,587,1430,1402,454,298,451,4874,410,180
2021-01-22,592,1439,1408,463,302,451,4893,416,180
2021-01-23,594,1458,1415,467,306,455,4916,418,181
2021-01-24,604,1479,1418,469,306,457,4945,421,183
2021-01-25,615,1499,1425,473,309,461,4960,423,183
2021-01-26,619,1517,1431,476,310,465,4979,425,185
2021-01-27,625,1540,1438,481,313,466,4998,425,185
2021-01-28,631,1556,1446,481,315,468,5015,430,187
2021-01-29,637,1567,1455,483,317,471,5031,431,187
2021-01-30,639,1577,1462,491,318,473,5051,434,187
2021-01-31,641,1592,1470,495,320,475,5070,435,187
2021-02-01,645,1606,1475,506,323,476,5090,439,190
2021-02-02,651,1620,1482,509,332,480,5107,444,192
2021-02-03,657,1633,1491,512,334,481,5123,447,192
2021-02-04,660,1642,1501,517,338,486,5137,451,192
2021-02-05,663,1651,1511,519,338,488,5153,454,194
2021-02-06,667,1663,1515,530,338,492,5161,456,195
2021-02-07,668,1670,1515,539,338,492,5173,460,197
2021-02-08,671,1681,1522,546,341,497,5189,463,200
2021-02-09,674,1692,1527,551,345,500,5194,467,203
2021-02-10,678,1704,1530,557,348,503,5205,471,207
2021-02-11,683,1711,1533,560,348,504,5218,471,210
2021-02-12,688,1717,1536,565,360,506,5232,474,212
2021-02-13,693,1724,1539,569,360,508,5239,476,215
2021-02-14,698,1730,1541,574,360,509,5252,478,217
2021-02-15,701,1736,1544,577,360,511,5259,478,218
2021-02-16,703,1749,1548,584,360,512,5267,480,218
2021-02-17,705,1756,1554,588,361,515,5275,483,218
2021-02-18,706,1768,1556,592,362,516,5282,486,221
2021-02-19,711,1774,1559,595,362,518,5289,486,221
2021-02-20,712,1783,1559,599,364,518,5298,487,221
2021-02-21,713,1793,1560,600,364,519,5302,488,222
2021-02-22,715,1801,1563,606,369,521,5310,490,222
2021-02-23,716,1813,1567,606,373,526,5314,491,223
2021-02-24,717,1824,1572,614,374,532,5320,492,223
2021-02-25,717,1835,1576,618,375,533,5335,493,223
2021-02-26,718,1844,1580,623,378,535,5349,496,223
2021-02-27,718,1846,1580,625,382,536,5352,496,223
2021-02-28,720,1851,1580,626,385,537,5363,496,223
2021-03-01,720,1854,1584,628,386,539,5368,499,224
2021-03-02,725,1858,1587,633,398,542,5377,500,224
2021-03-03,729,1859,1591,634,405,546,5380,501,224
2021-03-04,730,1861,1594,636,408,551,5385,502,224
2021-03-05,731,1868,1598,638,409,555,5390,502,224
2021-03-06,731,1871,1601,638,411,555,5394,503,224
2021-03-07,731,1875,1604,640,414,558,5397,503,225
2021-03-08,732,1880,1608,643,417,563,5404,503,225
2021-03-09,732,1882,1611,644,417,564,5411,503,225
2021-03-10,733,1884,1615,645,421,568,5417,503,225
2021-03-11,734,1885,1619,650,422,571,5424,505,225
2021-03-12,735,1888,1621,656,424,572,5431,507,225
2021-03-13,735,1889,1624,658,425,575,5435,507,226
2021-03-14,736,1892,1624,658,425,576,5437,507,226
2021-03-15,737,1895,1627,659,428,578,5443,509,227
2021-03-16,738,1897,1630,661,428,578,5450,510,228
2021-03-17,740,1899,1634,663,428,582,5454,511,228
2021-03-18,741,1901,1637,664,428,586,5460,511,229
2021-03-19,741,1902,1639,665,428,588,5463,514,229
2021-03-20,741,1903,1643,666,428,588,5469,515,230
2021-03-21,741,1905,1644,666,428,588,5475,518,230
2021-03-22,742,1908,1645,668,430,590,5481,519,230
2021-03-23,742,1913,1645,671,430,591,5488,523,230
2021-03-24,742,1916,1647,672,430,591,5491,525,231
2021-03-25,746,1920,1649,675,433,593,5498,527,231
2021-03-26,748,1922,1650,677,433,594,5510,527,231
2021-03-27,749,1924,1650,681,433,596,5512,527,232
2021-03-28,751,1925,1651,681,435,597,5516,530,233
2021-03-29,755,1927,1653,683,437,599,5522,531,234
2021-03-30,756,1931,1655,690,437,604,5528,536,238
2021-03-31,756,1931,1657,695,437,604,5533,537,239
2021-04-01,757,1931,1659,699,437,606,5542,540,239
2021-04-02,759,1932,1659,704,438,607,5543,547,240
2021-04-03,759,1932,1659,707,440,607,5546,550,241
2021-04-04,760,1932,1659,709,440,608,5552,553,242
2021-04-05,762,1936,1662,713,440,609,5558,557,244
2021-04-06,764,1938,1666,715,442,610,5569,558,246
2021-04-07,766,1939,1669,717,442,613,5571,559,250
2021-04-08,767,1940,1673,720,444,614,5579,559,251
2021-04-09,768,1941,1676,722,445,616,5587,560,253
2021-04-10,769,1943,1676,723,445,617,5591,564,253
2021-04-11,769,1945,1678,724,445,617,5595,566,254
2021-04-12,770,1947,1682,725,446,618,5604,572,255
2021-04-13,770,1949,1685,726,446,621,5609,580,256
2021-04-14,770,1951,1685,728,448,623,5617,586,258
2021-04-15,771,1951,1685,731,448,624,5618,589,259
2021-04-16,771,1953,1689,732,449,625,5625,593,260
2021-04-17,773,1954,1692,733,449,626,5633,593,260
2021-04-18,773,1956,1694,736,449,628,5642,595,262
2021-04-19,773,1957,1699,737,449,631,5652,603,263
2021-04-20,777,1959,1703,738,451,634,5659,606,264
2021-04-21,780,1961,1706,740,452,637,5665,612,266
2021-04-22,780,1966,1710,743,452,637,5674,617,270
2021-04-23,781,1969,1716,745,452,639,5679,619,273
2021-04-24,781,1971,1720,748,453,639,5689,627,277
2021-04-25,784,1973,1720,748,453,640,5698,631,279
2021-04-26,785,1974,1727,752,456,644,5704,642,280
2021-04-27,788,1974,1733,754,456,646,5719,646,281
2021-04-28,790,1975,1738,761,456,652,5729,651,281
2021-04-29,790,1977,1742,763,458,653,5735,659,281
2021-04-30,793,1979,1747,765,459,654,5748,659,282
2021-05-01,794,1985,1752,766,460,656,5762,661,284
2021-05-02,796,1988,1756,766,460,656,5773,661,286
2021-05-03,797,1988,1760,770,461,657,5786,664,286
2021-05-04,801,1990,1766,778,461,659,5800,669,289
2021-05-05,804,1990,1774,783,463,662,5817,673,289
2021-05-06,807,1992,1782,784,463,662,5835,678,290
2021-05-07,810,1995,1789,789,463,665,5849,682,290
2021-05-08,811,1998,1794,792,463,666,5864,685,290
2021-05-09,814,2002,1797,795,463,669,5885,688,290
2021-05-10,817,2006,1805,802,464,670,5909,689,290
2021-05-11,821,2011,1813,809,464,672,5929,690,291
2021-05-12,827,2018,1821,816,468,673,5945,693,292
2021-05-13,829,2025,1829,825,470,676,5972,693,292
2021-05-14,832,2031,1831,832,474,677,5995,696,292
2021-05-15,839,2038,1832,838,474,684,6015,698,292
2021-05-16,844,2042,1832,848,474,685,6023,701,292
2021-05-17,853,2049,1840,862,479,687,6047,705,292
2021-05-18,856,2056,1847,871,482,690,6066,710,292
2021-05-19,864,2060,1860,880,483,692,6094,711,293
2021-05-20,869,2065,1880,888,486,694,6119,718,293
2021-05-21,872,2072,1895,899,494,696,6153,728,295
2021-05-22,880,2073,1909,909,499,699,6179,729,295
2021-05-23,889,2077,1924,916,501,699,6208,733,295
2021-05-24,897,2081,1945,928,505,701,6245,739,295
2021-05-25,907,2088,1973,944,508,705,6275,741,295
2021-05-26,913,2095,1994,952,516,711,6302,743,296
2021-05-27,915,2103,2018,962,520,722,6328,749,296
2021-05-28,926,2109,2031,975,525,726,6359,753,296
2021-05-29,936,2116,2043,980,527,727,6388,755,296
2021-05-30,943,2120,2049,988,528,728,6423,756,296
2021-05-31,950,2127,2062,998,534,729,6451,758,297
2021-06-01,962,2134,2073,1015,540,732,6489,763,298
2021-06-02,970,2143,2085,1028,545,735,6520,765,298
2021-06-03,978,2147,2108,1045,549,744,6558,772,298
2021-06-04,988,2154,2129,1055,552,746,6590,774,298
2021-06-05,1003,2160,2133,1061,558,749,6620,777,298
2021-06-06,1009,2166,2144,1069,564,752,6653,778,298
2021-06-07,1012,2173,2162,1075,573,755,6682,780,298
2021-06-08,1023,2175,2171,1087,577,762,6716,783,298
2021-06-09,1030,2183,2191,1092,580,773,6750,783,298
2021-06-10,1033,2191,2213,1100,588,780,6777,785,298
2021-06-11,1042,2198,2234,1116,596,785,6808,788,298
2021-06-12,1048,2202,2252,1123,608,788,6837,790,298
2021-06-13,1062,2209,2271,1132,611,790,6862,792,299
2021-06-14,1070,2218,2290,1140,619,794,6898,799,299
2021-06-15,1079,2226,2307,1152,630,800,6922,803,300
2021-06-16,1087,2235,2324,1158,634,808,6949,807,300
2021-06-17,1092,2241,2340,1171,645,814,6965,812,301
2021-06-18,1096,2247,2361,1177,656,819,6994,816,301
2021-06-19,1111,2252,2378,1182,658,822,7021,821,301
2021-06-20,1115,2257,2397,1184,663,826,7051,822,301
2021-06-21,1123,2265,2408,1185,665,828,7070,823,304
2021-06-22,1129,2271,2428,1190,672,832,7086,826,307
2021-06-23,1135,2275,2452,1198,675,837,7107,827,307
2021-06-24,1144,2282,2471,1202,684,838,7133,827,307
2021-06-25,1150,2289,2491,1205,686,839,7150,833,308
2021-06-26,1153,2296,2498,1213,691,842,7166,834,308
2021-06-27,1157,2301,2508,1217,691,843,7185,836,308
2021-06-28,1161,2306,2525,1222,700,847,7206,837,309
2021-06-29,1167,2312,2541,1227,705,850,7223,839,312
2021-06-30,1174,2319,2554,1227,707,853,7244,843,313
2021-07-01,1180,2326,2559,1230,717,855,7250,847,314
2021-07-02,1184,2333,2562,1240,723,859,7267,851,314
2021-07-03,1189,2340,2570,1241,726,862,7284,851,315
2021-07-04,1197,2342,2579,1246,728,864,7301,852,315
2021-07-05,1201,2346,2592,1249,728,868,7312,855,315
2021-07-06,1207,2352,2598,1251,728,872,7327,859,315
2021-07-07,1213,2358,2603,1253,738,874,7345,860,315
2021-07-08,1216,2365,2605,1271,741,880,7355,861,316
2021-07-09,1220,2371,2609,1275,746,882,7371,862,316
2021-07-10,1224,2377,2613,1276,746,883,7387,863,316
2021-07-11,1225,2383,2619,1278,746,885,7394,863,316
2021-07-12,1231,2385,2624,1282,750,890,7405,864,316
2021-07-13,1237,2388,2624,1285,756,895,7421,866,316
2021-07-14,1239,2393,2635,1286,757,898,7436,866,317
2021-07-15,1241,2397,2643,1288,761,901,7451,867,317
2021-07-16,1244,2401,2644,1290,762,905,7462,867,317
2021-07-17,1247,2402,2647,1291,764,907,7468,870,317
2021-07-18,1252,2404,2650,1291,765,909,7483,870,317
2021-07-19,1255,2406,2655,1292,766,911,7500,872,317
2021-07-20,1258,2410,2659,1295,766,911,7517,872,317
2021-07-21,1262,2414,2666,1295,767,916,7531,873,318
2021-07-22,1265,2418,2671,1295,768,917,7543,873,319
2021-07-23,1267,2422,2674,1296,773,917,7556,875,319
2021-07-24,1270,2426,2677,1297,775,919,7571,875,319
2021-07-25,1276,2429,2681,1297,775,919,7577,875,319
2021-07-26,1282,2432,2685,1300,778,922,7589,875,319
2021-07-27,1284,2436,2689,1303,781,922,7597,878,319
2021-07-28,1287,2441,2691,1307,783,924,7611,878,320
2021-07-29,1294,2446,2692,1311,786,925,7618,879,320
2021-07-30,1295,2450,2695,1313,786,926,7628,881,320
2021-07-31,1298,2453,2695,1313,786,926,7630,882,320
2021-08-01,1304,2456,2696,1317,786,929,7637,882,320
2021-08-02,1309,2458,2700,1318,791,931,7647,883,320
2021-08-03,1310,2462,2701,1320,791,935,7660,886,320
